video_id,video_url
vid069,https://www.youtube.com/live/zxVkniGZeFQ?si=rUjCeM2A3oJlNMlL
vid070,https://www.youtube.com/live/vuIjVqUe_Zk?si=85KXejfFLqqpwZ_M
vid071,https://www.youtube.com/live/IQK8HGJmSG4?si=ir52eaaWgOOWWqnX
vid072,https://www.youtube.com/live/BZ7_uwbzwVE?si=G5inKmtn59Xus4h4
vid073,https://www.youtube.com/live/sAoryztPGeE?si=4pRRkPhDMbLTEw6O
vid074,https://www.youtube.com/live/d1oqmJcYKRM?si=AE9pSFMctpjrJeJF
vid075,https://www.youtube.com/live/AG4RzrpfH48?si=p3UtrnOihmNva5L2
vid076,https://www.youtube.com/live/csos4PPqK4A?si=Pwc88u0-UmzY_nvz
vid077,https://www.youtube.com/live/2gM6LyawUJ8?si=f86EqmYXU-hDpmKQ
vid078,https://www.youtube.com/live/nrPfCpKeops?si=vOD-Xgh34pJCCs-u
vid079,https://www.youtube.com/live/fhg9NMS3Szk?si=9Xr50qxPzKWAkh7Iu
vid080,https://www.youtube.com/live/71LHXR48u9E?si=qaAdG-uRQ55wjR0_
vid081,https://www.youtube.com/live/b4AE7eey7xE?si=cNePBN8I8Mt_P3qf
vid082,https://www.youtube.com/live/19TfctpDLrk?si=dFOam8fWC28JMmkX
vid083,https://www.youtube.com/live/NcT2oxrp-do?si=YBqLJojsD6fPZf6x
vid084,https://www.youtube.com/live/sMNbzX9VcqM?si=dOvioU7h0mypxzMi
vid085,https://www.youtube.com/live/Pg083FFfYb0?si=svkAhWE_sPrz_PYr
vid086,https://www.youtube.com/live/dxovZ8R2_D0?si=SxeBeWb2fnonRStV
vid087,https://www.youtube.com/live/M7GGQX99Mvk?si=7ophi2n4LKag_iW0
vid088,https://www.youtube.com/live/w-Mb9LMsftY?si=JtGTnNFuJLnUQ9ag
vid089,https://www.youtube.com/live/dbAZTDLqIjM?si=IkXdImRs07ATNfF_
vid090,https://www.youtube.com/live/HovyWsvc-ik?si=5x7C5v1GMwMPzgRI
vid091,https://www.youtube.com/live/saUFMw7Sljc?si=iSNU54LxkIlGAofN
vid092,https://www.youtube.com/live/tXlT2tdDo7s?si=nxab-jMkbPud-joa
vid093,https://www.youtube.com/live/W272JABe2Lk?si=42cmT6xe0wg9gprQ
vid094,https://www.youtube.com/live/mAkwlD--j4A?si=nYh0raG_C1wcqNRk
vid095,https://www.youtube.com/live/zedb9WAYwnA?si=6erz08k25KjCr7SS
vid096,https://www.youtube.com/live/Wsv55jvwYYg?si=jpDLJbbUZVRQg4Ak
vid097,https://www.youtube.com/live/DWwj24Dp-Bw?si=DikUmU-eX80uw1r4
